iter	Passed	Remaining
0	138	138651
1	139	69637
2	140	46587
3	140	35073
4	141	28149
5	142	23531
6	142	20232
7	143	17751
8	143	15821
9	144	14275
10	144	13015
11	145	11963
12	146	11091
13	147	10388
14	148	9723
15	148	9140
16	149	8622
17	149	8171
18	150	7762
19	151	7412
20	151	7084
21	152	6785
22	153	6504
23	153	6250
24	154	6019
25	154	5801
26	155	5600
27	156	5415
28	156	5243
29	157	5082
30	157	4936
31	159	4812
32	159	4680
33	160	4562
34	161	4446
35	161	4336
36	162	4240
37	163	4140
38	164	4046
39	164	3955
40	165	3873
41	166	3789
42	166	3709
43	167	3632
44	167	3562
45	168	3494
46	169	3427
47	169	3362
48	170	3302
49	170	3245
50	171	3188
51	171	3132
52	172	3079
53	172	3026
54	173	2977
55	173	2929
56	174	2882
57	174	2837
58	175	2794
59	175	2752
60	176	2711
61	176	2672
62	177	2634
63	177	2597
64	178	2561
65	178	2527
66	179	2493
67	179	2463
68	180	2431
69	180	2401
70	181	2372
71	181	2344
72	182	2316
73	182	2288
74	183	2261
75	183	2237
76	184	2211
77	185	2188
78	185	2165
79	186	2141
80	186	2118
81	187	2096
82	187	2071
83	188	2050
84	188	2029
85	189	2010
86	189	1990
87	190	1971
88	190	1952
89	191	1933
90	191	1914
91	192	1896
92	192	1880
93	193	1863
94	193	1847
95	194	1831
96	195	1817
97	195	1802
98	196	1786
99	196	1772
100	197	1757
101	197	1742
102	198	1728
103	198	1713
104	199	1699
105	200	1687
106	200	1674
107	201	1661
108	201	1647
109	202	1635
110	202	1622
111	203	1609
112	203	1597
113	204	1585
114	204	1574
115	205	1563
116	205	1550
117	206	1540
118	206	1529
119	207	1519
120	207	1508
121	208	1498
122	208	1490
123	209	1480
124	210	1471
125	211	1464
126	211	1454
127	212	1444
128	212	1435
129	213	1426
130	213	1417
131	214	1408
132	214	1400
133	215	1391
134	215	1383
135	216	1376
136	217	1368
137	217	1360
138	218	1352
139	218	1345
140	219	1337
141	219	1328
142	220	1321
143	220	1313
144	221	1306
145	222	1298
146	222	1292
147	223	1284
148	223	1277
149	224	1270
150	224	1263
151	225	1256
152	225	1250
153	226	1243
154	226	1236
155	227	1230
156	227	1223
157	228	1217
158	228	1210
159	229	1204
160	229	1197
161	230	1191
162	230	1185
163	231	1179
164	231	1173
165	232	1168
166	232	1162
167	233	1156
168	233	1150
169	234	1144
170	234	1138
171	235	1133
172	235	1127
173	236	1122
174	236	1116
175	237	1111
176	237	1106
177	238	1101
178	238	1095
179	239	1090
180	239	1085
181	240	1080
182	240	1075
183	241	1070
184	241	1065
185	242	1060
186	242	1055
187	243	1051
188	244	1047
189	244	1042
190	244	1037
191	245	1033
192	246	1028
193	246	1024
194	247	1019
195	247	1015
196	248	1011
197	248	1007
198	249	1002
199	249	998
200	250	994
201	250	990
202	251	986
203	251	982
204	252	978
205	252	974
206	253	970
207	253	967
208	254	963
209	255	959
210	255	956
211	256	952
212	256	948
213	257	944
214	257	940
215	258	937
216	258	933
217	259	930
218	259	926
219	260	923
220	260	919
221	261	915
222	261	912
223	262	908
224	262	905
225	263	901
226	263	898
227	264	895
228	265	892
229	265	889
230	266	886
231	266	883
232	267	879
233	267	876
234	268	873
235	268	870
236	269	867
237	269	864
238	270	861
239	271	858
240	271	855
241	272	852
242	272	849
243	273	846
244	273	843
245	274	840
246	274	837
247	275	834
248	275	832
249	276	829
250	277	826
251	277	824
252	278	821
253	278	818
254	279	815
255	279	813
256	280	810
257	281	809
258	282	807
259	282	804
260	283	802
261	284	800
262	284	797
263	285	794
264	285	791
265	285	789
266	286	787
267	287	784
268	287	781
269	288	779
270	288	776
271	289	774
272	289	771
273	290	769
274	290	766
275	291	764
276	291	761
277	292	759
278	292	756
279	293	754
280	293	751
281	294	749
282	294	747
283	295	744
284	295	742
285	296	739
286	296	737
287	297	735
288	297	732
289	298	730
290	298	728
291	299	726
292	300	724
293	300	721
294	301	719
295	301	718
296	302	715
297	303	713
298	303	711
299	304	709
300	304	708
301	305	706
302	306	703
303	306	701
304	306	699
305	307	697
306	308	695
307	308	693
308	309	691
309	309	689
310	310	687
311	310	685
312	311	683
313	311	681
314	312	679
315	312	677
316	313	675
317	313	673
318	314	671
319	314	669
320	315	667
321	315	665
322	316	663
323	316	661
324	317	659
325	317	657
326	318	655
327	318	653
328	319	651
329	320	649
330	320	648
331	321	646
332	321	644
333	322	642
334	322	640
335	323	638
336	323	636
337	324	634
338	324	632
339	325	631
340	325	629
341	326	627
342	326	625
343	327	623
344	327	621
345	328	620
346	328	618
347	329	616
348	329	614
349	330	612
350	330	611
351	331	609
352	331	607
353	332	605
354	332	604
355	333	602
356	333	600
357	333	598
358	334	597
359	335	595
360	335	594
361	336	592
362	336	590
363	337	589
364	337	587
365	338	586
366	338	584
367	339	582
368	339	581
369	340	579
370	340	578
371	341	576
372	342	574
373	342	573
374	343	571
375	343	570
376	343	568
377	344	566
378	344	565
379	345	563
380	346	562
381	346	560
382	347	559
383	347	557
384	348	556
385	348	554
386	349	553
387	349	551
388	350	550
389	350	548
390	351	547
391	352	546
392	352	545
393	353	543
394	354	542
395	354	540
396	355	539
397	355	538
398	356	536
399	356	535
400	357	533
401	358	532
402	358	531
403	359	529
404	359	528
405	360	526
406	360	525
407	361	523
408	361	522
409	362	521
410	362	519
411	363	518
412	363	517
413	364	515
414	365	514
415	365	513
416	366	511
417	366	510
418	367	509
419	367	507
420	368	506
421	368	505
422	369	503
423	369	502
424	370	501
425	370	499
426	371	498
427	371	496
428	372	495
429	372	494
430	373	493
431	374	491
432	374	490
433	375	489
434	375	487
435	376	486
436	376	485
437	377	483
438	377	482
439	378	481
440	378	480
441	379	478
442	379	477
443	380	476
444	380	475
445	381	473
446	382	472
447	382	471
448	383	470
449	383	468
450	384	467
451	384	466
452	385	465
453	385	464
454	386	462
455	386	461
456	387	460
457	387	459
458	388	457
459	388	456
460	389	455
461	389	454
462	390	452
463	391	451
464	391	450
465	391	449
466	392	447
467	392	446
468	393	445
469	393	444
470	394	443
471	395	442
472	395	441
473	396	439
474	396	438
475	397	437
476	397	436
477	398	434
478	398	433
479	399	432
480	400	431
481	400	430
482	401	429
483	401	428
484	402	427
485	402	426
486	403	424
487	403	423
488	404	422
489	404	421
490	405	420
491	405	419
492	406	417
493	406	416
494	407	415
495	407	414
496	408	413
497	408	412
498	409	411
499	409	409
500	410	408
501	411	407
502	411	406
503	412	405
504	412	404
505	413	403
506	413	402
507	413	400
508	414	399
509	414	398
510	415	397
511	415	396
512	416	395
513	417	394
514	417	393
515	418	392
516	418	391
517	419	390
518	419	389
519	420	387
520	420	386
521	421	385
522	421	384
523	422	383
524	422	382
525	423	381
526	423	380
527	424	379
528	424	378
529	425	377
530	425	375
531	426	374
532	426	373
533	427	372
534	427	371
535	428	370
536	428	369
537	429	368
538	429	367
539	430	366
540	430	365
541	431	364
542	431	363
543	432	362
544	432	361
545	433	360
546	433	359
547	434	358
548	434	357
549	435	356
550	436	355
551	436	354
552	437	353
553	437	352
554	438	351
555	438	350
556	439	349
557	439	348
558	440	347
559	440	346
560	440	345
561	441	344
562	442	343
563	442	342
564	443	341
565	443	340
566	444	339
567	445	338
568	445	337
569	445	336
570	446	335
571	447	334
572	447	333
573	448	332
574	448	331
575	449	330
576	450	329
577	450	328
578	450	327
579	451	326
580	452	325
581	452	325
582	453	324
583	453	323
584	454	322
585	454	321
586	455	320
587	455	319
588	456	318
589	456	317
590	457	316
591	457	315
592	458	314
593	458	313
594	459	312
595	459	311
596	460	310
597	460	309
598	461	308
599	461	307
600	462	306
601	462	305
602	463	305
603	463	304
604	464	303
605	464	302
606	465	301
607	465	300
608	466	299
609	466	298
610	467	297
611	467	296
612	468	295
613	468	294
614	469	293
615	469	292
616	470	291
617	470	291
618	471	290
619	471	289
620	472	288
621	472	287
622	473	286
623	473	285
624	474	284
625	474	283
626	475	282
627	475	281
628	476	280
629	476	280
630	477	279
631	477	278
632	478	277
633	478	276
634	479	275
635	479	274
636	480	273
637	481	272
638	481	272
639	482	271
640	482	270
641	483	269
642	483	268
643	484	267
644	484	266
645	485	265
646	485	264
647	486	264
648	486	263
649	487	262
650	487	261
651	488	260
652	488	259
653	489	258
654	490	258
655	490	257
656	491	256
657	491	255
658	492	254
659	492	253
660	493	252
661	493	252
662	494	251
663	494	250
664	495	249
665	495	248
666	496	247
667	496	246
668	497	246
669	497	245
670	498	244
671	498	243
672	499	242
673	500	241
674	500	241
675	501	240
676	502	239
677	502	238
678	503	237
679	503	237
680	504	236
681	504	235
682	505	234
683	506	233
684	506	232
685	507	232
686	507	231
687	508	230
688	508	229
689	509	228
690	509	227
691	510	227
692	510	226
693	511	225
694	511	224
695	512	223
696	512	222
697	513	222
698	514	221
699	514	220
700	515	219
701	516	219
702	516	218
703	517	217
704	517	216
705	518	215
706	518	214
707	519	214
708	519	213
709	520	212
710	520	211
711	521	210
712	521	210
713	522	209
714	522	208
715	523	207
716	523	206
717	524	205
718	525	205
719	525	204
720	526	203
721	526	202
722	527	201
723	527	201
724	528	200
725	528	199
726	529	198
727	529	197
728	530	197
729	530	196
730	531	195
731	531	194
732	532	193
733	532	193
734	533	192
735	534	191
736	534	190
737	535	189
738	535	189
739	536	188
740	536	187
741	537	186
742	537	185
743	538	185
744	538	184
745	539	183
746	539	182
747	540	182
748	540	181
749	541	180
750	541	179
751	542	178
752	542	178
753	543	177
754	543	176
755	544	175
756	544	174
757	545	174
758	545	173
759	546	172
760	547	171
761	547	171
762	548	170
763	548	169
764	549	168
765	549	167
766	550	167
767	550	166
768	551	165
769	551	164
770	552	164
771	552	163
772	553	162
773	554	161
774	554	160
775	554	160
776	555	159
777	555	158
778	556	157
779	557	157
780	557	156
781	558	155
782	558	154
783	558	154
784	559	153
785	560	152
786	560	151
787	561	150
788	561	150
789	562	149
790	562	148
791	563	147
792	563	147
793	564	146
794	564	145
795	565	144
796	565	144
797	566	143
798	566	142
799	567	141
800	567	141
801	568	140
802	568	139
803	569	138
804	569	138
805	570	137
806	570	136
807	571	135
808	571	135
809	572	134
810	572	133
811	573	132
812	573	132
813	574	131
814	575	130
815	575	129
816	576	129
817	576	128
818	577	127
819	577	126
820	578	126
821	578	125
822	579	124
823	580	123
824	580	123
825	581	122
826	581	121
827	582	121
828	583	120
829	584	119
830	584	118
831	585	118
832	585	117
833	586	116
834	586	115
835	587	115
836	587	114
837	588	113
838	588	113
839	589	112
840	590	111
841	590	110
842	591	110
843	591	109
844	592	108
845	592	107
846	593	107
847	593	106
848	593	105
849	594	104
850	595	104
851	595	103
852	596	102
853	596	102
854	597	101
855	597	100
856	598	99
857	598	99
858	599	98
859	599	97
860	600	96
861	601	96
862	601	95
863	602	94
864	602	94
865	603	93
866	603	92
867	604	91
868	604	91
869	605	90
870	605	89
871	606	88
872	606	88
873	607	87
874	607	86
875	608	86
876	608	85
877	609	84
878	610	84
879	611	83
880	611	82
881	612	81
882	612	81
883	613	80
884	613	79
885	614	79
886	614	78
887	615	77
888	615	76
889	616	76
890	616	75
891	617	74
892	618	74
893	618	73
894	619	72
895	619	71
896	620	71
897	620	70
898	621	69
899	621	69
900	622	68
901	622	67
902	623	66
903	624	66
904	624	65
905	625	64
906	625	64
907	625	63
908	626	62
909	626	62
910	627	61
911	628	60
912	628	59
913	629	59
914	629	58
915	630	57
916	630	57
917	631	56
918	631	55
919	632	54
920	632	54
921	633	53
922	633	52
923	634	52
924	634	51
925	635	50
926	635	50
927	636	49
928	636	48
929	637	47
930	637	47
931	638	46
932	638	45
933	639	45
934	639	44
935	640	43
936	640	43
937	641	42
938	641	41
939	642	41
940	643	40
941	643	39
942	644	38
943	644	38
944	645	37
945	645	36
946	646	36
947	646	35
948	647	34
949	647	34
950	648	33
951	648	32
952	649	32
953	649	31
954	650	30
955	650	29
956	651	29
957	651	28
958	652	27
959	653	27
960	653	26
961	654	25
962	654	25
963	655	24
964	655	23
965	656	23
966	656	22
967	657	21
968	657	21
969	658	20
970	658	19
971	659	18
972	659	18
973	660	17
974	660	16
975	661	16
976	661	15
977	662	14
978	662	14
979	663	13
980	663	12
981	664	12
982	664	11
983	665	10
984	665	10
985	666	9
986	667	8
987	667	8
988	668	7
989	668	6
990	669	6
991	669	5
992	670	4
993	670	4
994	671	3
995	671	2
996	672	2
997	672	1
998	673	0
999	673	0
